	F_Day_0_DSS_D	O_Day_0_DSS_D	O_Day_3_DSS_D	F_Day_7_DSS_D	F_Day_3_DSS_D	O_Day_7_DSS_D
ASV_7766	991	0	878	11642	6162	27615
ASV_7767	74	0	0	29	21	0
ASV_7779	17	0	98	2071	1681	4308
ASV_779	0	0	0	718	8	17
ASV_7798	0	0	0	0	0	10
ASV_7799	38	0	565	60	6079	51
ASV_7813	0	0	0	81	29	607
ASV_7818	5	0	0	0	0	0
ASV_782	0	69	2	0	0	12
ASV_7854	0	0	0	0	1	0
ASV_79	17	0	0	76	59	27
ASV_7918	0	0	0	0	13	0
ASV_7946	0	0	0	0	0	105
ASV_7973	0	0	0	0	0	172
ASV_80	23	0	0	11	180	19
ASV_804	0	0	0	61	33	80
ASV_8074	0	0	0	5	0	7
ASV_8085	0	0	0	0	7	0
ASV_8100	0	0	0	0	78	0
ASV_8118	0	0	0	6	8	38
ASV_812	0	0	0	5	0	0
ASV_816	0	0	0	117	317	312
ASV_8229	0	0	0	11	6	41
ASV_8260	0	0	0	14	0	16
ASV_829	0	0	0	19	79	162
ASV_830	0	0	0	4	0	0
ASV_835	20	0	0	38	145	199
ASV_837	0	0	0	20	0	12
ASV_8391	0	0	0	0	1	1
ASV_8425	0	0	0	4	4	1
ASV_8486	0	0	43	0	0	0
ASV_8520	0	0	0	3	0	1
ASV_8521	0	0	0	0	8	10
ASV_86	32	3	1411	116059	5673	125315
ASV_861	0	0	0	0	4	0
ASV_864	0	0	149	0	0	0
ASV_8653	0	0	0	0	0	2
ASV_87	7	0	286	601	546	987
ASV_879	0	0	0	54	45	73
ASV_8887	0	0	0	0	18	7
ASV_89	0	0	0	0	0	73
ASV_8935	0	30	0	0	0	0
ASV_8948	0	0	0	0	11	86
ASV_90	0	0	0	0	74	0
ASV_901	0	0	0	26	0	57
ASV_9027	0	0	0	2	0	0
ASV_9091	0	0	0	4	0	1
ASV_913	30	0	125	0	0	0
ASV_9155	0	0	0	19	0	0
ASV_921	55	0	0	0	0	0
ASV_9268	0	0	11	0	0	0
ASV_93	40	0	0	0	0	0
ASV_932	0	0	0	8	8	0
ASV_933	0	0	0	6	0	18
ASV_936	0	0	28	0	0	0
ASV_9383	0	0	0	1	0	6
ASV_9478	0	0	0	0	3	0
ASV_949	0	0	0	0	0	28
ASV_95	0	0	0	27	0	0
ASV_950	0	0	0	4	0	3
ASV_9546	0	0	0	0	1	0
ASV_9667	0	0	213	9	7	0
ASV_9668	0	620	488	0	0	2
ASV_9669	0	0	241	0	0	0
ASV_9672	0	0	279	0	0	0
ASV_9673	0	84	0	0	0	6
ASV_9676	0	159	21	0	0	0
ASV_9677	0	0	17	0	0	0
ASV_9678	0	54	126	0	0	0
ASV_9679	0	183	0	0	0	0
ASV_9680	0	0	3	0	0	0
ASV_9691	0	0	64	0	0	0
ASV_9697	0	0	36	0	0	0
ASV_9706	0	312	0	0	0	0
ASV_9721	0	277	0	3	0	0
ASV_9722	0	118	0	0	0	0
ASV_9776	0	0	134	0	0	0
ASV_9779	0	0	98	0	0	0
ASV_979	0	0	0	0	6	3
ASV_9790	0	180	0	0	0	0
ASV_9796	0	5	0	0	0	0
ASV_98	7	0	0	0	0	0
ASV_9805	0	629	0	0	0	4
ASV_9817	0	199	0	0	0	0
ASV_9818	0	126	0	0	0	0
ASV_9822	0	0	12	0	0	0
ASV_9835	0	0	7	0	0	0
ASV_9846	0	40	0	0	0	0
ASV_985	15	0	0	1	69	6
ASV_9854	0	446	0	0	0	0
ASV_9860	0	509	0	0	0	0
ASV_9872	0	105	8	0	0	0
ASV_99	0	0	0	29	12	1812
ASV_9915	0	412	0	0	0	0
ASV_9916	0	0	0	14	11	0
ASV_9970	0	330	0	0	0	0
