	F_Day_0_Abx_E	O_Day_0_Abx_E	O_Day_3_Abx_E	F_Day_7_Abx_E	O_Day_7_Abx_E	F_Day_3_Abx_E
ASV_4	16715	509	187	794	216	10692
ASV_40	0	0	0	25	0	142
ASV_400	0	0	0	0	0	60
ASV_4018	102	0	0	20	0	312
ASV_402	0	0	6	0	0	0
ASV_403	0	35	0	0	0	0
ASV_4032	0	0	0	3	0	237
ASV_4079	0	84	0	0	0	0
ASV_408	239	0	0	0	0	0
ASV_4086	0	0	0	0	0	78
ASV_409	85	66	0	8	0	251
ASV_41	0	1631	191	0	8	332
ASV_410	0	79	0	0	0	0
ASV_411	0	0	37	0	0	0
ASV_413	0	92	0	0	4	136
ASV_4138	0	168	0	0	0	2972
ASV_414	0	67	0	0	0	0
ASV_4156	46	0	0	0	0	66
ASV_416	0	22	0	0	0	0
ASV_417	0	56	0	0	0	83
ASV_4174	1	0	0	0	0	0
ASV_418	0	0	0	0	0	15
ASV_4181	0	0	73	0	0	79
ASV_419	0	34	0	0	0	0
ASV_42	22	0	0	14	0	56
ASV_421	0	19	0	0	21	1622
ASV_4241	0	0	0	0	6	94
ASV_425	6	0	0	0	0	0
ASV_428	0	0	12	0	0	0
ASV_43	44	0	0	0	0	99
ASV_432	51	0	0	0	0	0
ASV_433	0	0	0	0	0	47
ASV_436	0	0	0	0	0	93
ASV_439	16	0	0	5	0	116
ASV_44	1	0	0	0	0	0
ASV_441	12	0	0	0	0	0
ASV_443	0	0	33	0	0	0
ASV_4434	9	0	0	0	0	25
ASV_444	79	0	0	0	0	64
ASV_4458	5	0	0	0	0	0
ASV_45	0	564	0	7	0	145
ASV_454	0	56	0	0	0	498
ASV_456	0	0	24	0	0	0
ASV_459	0	60	0	0	0	0
ASV_46	858	36	0	25	0	660
ASV_460	5	0	0	21	0	228
ASV_461	10	0	0	0	0	194
ASV_462	0	69	0	0	0	274
ASV_4620	1	0	0	0	0	3
ASV_463	0	0	0	0	0	24
ASV_466	16	0	0	0	0	0
ASV_467	0	0	0	0	0	177
ASV_471	488	0	0	50	10	630
ASV_472	6	0	0	0	0	0
ASV_473	0	152	0	0	0	0
ASV_474	5	0	0	0	0	0
ASV_4754	0	0	0	0	0	26
ASV_478	0	74	0	0	0	52
ASV_48	2710	0	0	72	40	295
ASV_481	83	0	0	0	0	19
ASV_486	25	0	0	0	0	67
ASV_488	0	84	108	2	39	225
ASV_4893	0	54	0	0	0	84
ASV_49	67	42	0	0	0	162
ASV_490	10	0	0	0	0	28
ASV_493	0	87	0	0	0	0
ASV_495	0	0	0	0	0	45
ASV_4964	0	153	0	0	3	21
ASV_4994	0	0	0	0	6	223
ASV_50	89	0	0	11	22	24
ASV_505	518	0	0	0	0	113
ASV_511	223	0	0	4	0	0
ASV_5149	0	61	0	0	0	0
ASV_518	0	0	0	0	0	4
ASV_519	26	0	0	6	0	230
ASV_522	0	0	0	0	0	148
ASV_528	0	139	0	0	0	0
ASV_5292	107	0	0	0	0	1
ASV_53	0	11742	0	0	19	1100
ASV_534	25	0	0	0	0	0
ASV_537	0	0	0	0	0	46
ASV_539	0	0	0	11	0	41
ASV_54	233	0	0	27	0	246
ASV_544	11	0	0	0	0	0
ASV_546	0	0	0	0	0	16
ASV_547	0	0	0	0	0	251
ASV_55	117	0	0	0	0	0
ASV_552	13	0	0	0	0	0
ASV_5599	0	29	0	22	0	0
ASV_5600	2	9	0	8	0	0
ASV_5604	0	15	0	0	0	0
ASV_5605	0	57	29	0	0	0
ASV_5606	16	64	0	37	0	6
ASV_5607	0	65	0	0	0	0
ASV_5610	0	210	0	0	0	0
ASV_5612	0	30	0	0	0	0
ASV_564	54	0	0	6	0	0
ASV_565	0	0	0	0	0	30
ASV_566	46	0	0	0	0	0
ASV_567	0	0	0	0	0	157
ASV_5675	0	312	0	0	0	0
ASV_568	99	0	0	0	0	229
ASV_5682	0	103	0	0	83	29
ASV_569	0	0	17	0	0	251
ASV_57	37	0	0	0	0	0
ASV_5709	0	0	0	0	0	50
ASV_5711	3	0	0	9	0	0
ASV_572	2	0	0	0	0	105
ASV_5760	0	0	0	0	0	33
ASV_5772	0	45	0	0	0	0
ASV_578	1198	0	0	42	0	25
ASV_580	69	0	0	3	0	120
ASV_5804	0	0	0	0	0	23
ASV_5825	0	0	0	0	0	46
ASV_585	0	0	0	16	0	77
ASV_5876	0	114	30	0	0	0
ASV_588	0	0	0	0	0	68
ASV_5888	0	427	89	0	0	0
ASV_592	0	0	5	0	0	0
ASV_5928	0	127	40	0	0	0
ASV_595	0	127	19	0	0	0
ASV_596	0	0	0	0	0	24
ASV_5966	0	161	0	0	0	0
ASV_5986	0	0	0	2	0	0
ASV_60	0	0	0	3	0	58
ASV_6011	0	205	5	0	0	0
ASV_604	0	0	0	0	0	330
ASV_6045	0	0	32	0	0	0
ASV_6069	0	49	60	0	0	0
ASV_6074	0	0	0	0	0	192
ASV_6109	0	0	0	0	0	3
ASV_612	0	0	0	0	0	133
ASV_6137	0	107	10	2	0	0
ASV_6159	0	0	0	0	0	30
ASV_6182	0	0	0	0	0	154
ASV_619	0	0	0	0	0	133
ASV_6202	0	0	0	0	0	73
ASV_6211	0	0	0	0	0	68
ASV_6221	0	0	0	0	0	2
ASV_6232	0	0	0	0	0	49
ASV_6260	0	44	0	0	0	0
ASV_6263	0	0	0	0	0	101
ASV_627	0	0	0	0	0	87
ASV_6276	0	0	0	0	0	30
ASV_6279	0	0	0	0	0	47
ASV_6286	0	68	0	0	0	0
ASV_6310	0	0	18	0	0	0
ASV_64	56	0	0	0	0	91
ASV_640	0	0	0	0	0	36
ASV_647	13	0	0	0	0	0
ASV_648	0	0	0	0	0	278
ASV_65	0	0	0	0	0	6
ASV_652	26	0	0	0	0	0
ASV_654	21	0	0	0	0	0
ASV_655	14	0	0	0	0	0
