	KP_Exp_8_D0_AVN2	KP_Exp_8_D0_OR_AVN2	KP_Exp_8_D8_AVN2
ASV_770	0	0	37
ASV_771	43	0	0
ASV_7717	0	0	1
ASV_7718	0	0	1
ASV_7719	0	0	1
ASV_779	47	0	0
ASV_781	0	0	3
ASV_79	26	0	0
ASV_792	6	0	0
ASV_793	0	0	13
ASV_80	37	0	0
ASV_802	0	0	14
ASV_81	61	0	0
ASV_812	8	0	0
ASV_82	99	0	0
ASV_820	0	0	14
ASV_822	0	0	7
ASV_825	0	0	14
ASV_826	0	0	32
ASV_83	0	0	1868
ASV_830	14	0	0
ASV_831	19	0	0
ASV_832	0	0	28
ASV_846	0	0	28
ASV_847	0	0	4
ASV_85	129	1845	0
ASV_851	0	0	16
ASV_86	948	1867	8
ASV_860	62	0	0
ASV_862	0	0	25
ASV_879	33	0	0
ASV_88	145	0	0
ASV_883	0	0	22
ASV_89	9	0	0
ASV_890	0	0	26
ASV_892	13	0	0
ASV_896	6	0	0
ASV_9	0	0	2771
ASV_90	24	0	0
ASV_901	5	0	0
ASV_904	0	0	19
ASV_91	53	0	0
ASV_911	0	0	7
ASV_92	164	0	0
ASV_927	0	0	42
ASV_932	9	0	0
ASV_934	0	0	3
ASV_936	0	0	110
ASV_94	139	0	2
ASV_940	5	0	0
ASV_942	0	0	18
ASV_95	23	0	0
ASV_953	0	0	14
ASV_956	0	0	7
ASV_959	0	0	24
ASV_96	72	0	0
ASV_963	0	0	9
ASV_965	0	0	21
ASV_97	154	0	0
ASV_98	37	0	0
ASV_980	0	0	21
ASV_986	0	0	11
ASV_988	0	0	180
ASV_99	0	0	81
ASV_998	0	0	11
