	F_Day_0_Abx_C	O_Day_0_Abx_C	F_Day_3_Abx_C	O_Day_3_Abx_C
ASV_9869	0	541	0	0
ASV_9872	0	0	241	0
ASV_9874	0	158	0	6
ASV_9879	0	521	0	0
ASV_9880	0	558	0	0
ASV_9884	0	0	329	0
ASV_9895	0	481	0	0
ASV_9896	0	501	0	0
ASV_99	0	0	45	0
ASV_9916	0	0	6	0
ASV_9923	0	342	0	0
ASV_9936	0	0	0	36
ASV_9973	0	328	0	0
ASV_9976	0	308	0	0
ASV_9981	0	346	0	0
ASV_9997	0	0	0	9
