	F_Day_0_Control_A	O_Day_0_Control_A	F_Day_7_Control_A	O_Day_7_Control_A	O_Day_3_Control_A	F_Day_3_Control_A
ASV_9673	0	0	0	8	0	0
ASV_9674	0	0	0	0	1503	0
ASV_9676	0	4	0	0	0	0
ASV_9677	0	453	0	0	0	0
ASV_9682	0	3042	0	0	0	0
ASV_9686	0	2795	0	0	0	0
ASV_9687	0	2892	0	0	0	0
ASV_9688	0	0	0	0	1420	0
ASV_9695	0	2038	0	0	0	0
ASV_9699	0	746	0	0	0	0
ASV_97	0	0	12	7	0	0
ASV_9700	0	1792	0	0	0	0
ASV_9701	0	1863	0	0	0	0
ASV_9705	0	0	0	0	479	0
ASV_9706	0	1260	0	0	0	0
ASV_9709	0	0	0	0	1478	0
ASV_9713	0	1509	0	0	0	0
ASV_9722	0	0	0	0	72	0
ASV_9736	0	0	0	2	0	0
ASV_9750	0	246	0	0	0	0
ASV_9751	0	0	0	0	0	26
ASV_9753	0	959	0	0	0	0
ASV_9755	0	0	0	0	550	0
ASV_9766	0	78	0	0	520	0
ASV_9769	0	0	0	0	822	0
ASV_9775	0	811	0	0	0	0
ASV_9799	0	0	0	3	0	0
ASV_98	27	0	5	0	0	11
ASV_9802	0	0	0	0	687	0
ASV_9804	0	0	0	0	735	0
ASV_9811	0	0	0	0	0	47
ASV_9831	0	369	0	0	0	0
ASV_9832	0	0	0	0	592	0
ASV_9838	0	613	0	0	0	0
ASV_985	35	0	1	0	0	8
ASV_9878	0	485	0	0	0	0
ASV_9881	0	0	0	0	482	0
ASV_9891	0	0	0	0	460	0
ASV_99	0	0	0	5	0	0
ASV_9901	0	215	0	0	0	0
ASV_9916	20	0	0	0	0	7
ASV_9932	0	0	0	0	432	0
ASV_9933	0	0	0	0	419	0
ASV_9941	0	49	0	0	0	0
ASV_9945	0	341	0	0	0	0
ASV_9947	0	0	0	0	86	0
ASV_9960	0	357	0	0	0	0
ASV_9965	0	0	0	0	261	0
ASV_9977	0	0	0	0	283	0
ASV_9982	0	0	0	0	330	0
ASV_9989	0	322	0	0	0	0
ASV_9993	0	0	0	2	0	0
