	F_Day_0_Control_C	O_Day_0_Control_C	F_Day_7_Control_C	O_Day_7_Control_C	O_Day_3_Control_C	F_Day_3_Control_C
ASV_74	0	0	0	0	0	50
ASV_7495	0	0	0	655	0	0
ASV_75	0	39	0	0	8	0
ASV_750	25	0	44	0	0	535
ASV_7547	0	0	0	10	0	0
ASV_756	20	0	11	0	0	105
ASV_76	116	0	181	0	40	846
ASV_765	0	0	0	0	0	28
ASV_77	0	0	69	0	0	0
ASV_772	0	0	3	0	0	3
ASV_7763	434	0	64	0	294	501
ASV_7765	6	0	23	5	114	63
ASV_7766	7453	268	2268	796	5298	14691
ASV_7767	505	0	163	0	160	6526
ASV_7779	135	0	183	0	8	1449
ASV_779	17	0	3	0	0	0
ASV_7798	4	0	4	0	0	25
ASV_7799	0	0	9	0	0	0
ASV_782	0	161	0	0	613	0
ASV_7837	5	0	0	0	0	0
ASV_7839	0	0	0	0	0	1
ASV_7843	4	0	0	0	0	11
ASV_7870	0	42	0	0	871	0
ASV_79	37	0	61	0	0	131
ASV_792	0	0	10	0	0	0
ASV_7922	0	0	0	0	13	0
ASV_7953	0	0	0	0	63	0
ASV_80	105	0	179	0	39	900
ASV_804	45	0	43	0	19	82
ASV_8074	7	0	0	0	0	0
ASV_808	0	0	0	0	0	4
ASV_816	86	0	100	0	0	710
ASV_8229	0	0	1	0	0	2
ASV_826	0	20	0	0	0	0
ASV_829	27	0	33	0	0	223
ASV_835	26	0	26	39	0	333
ASV_837	0	0	5	0	0	22
ASV_8391	3	0	0	0	0	2
ASV_8466	0	0	0	0	0	49
ASV_8517	0	43	0	0	73	0
ASV_86	1279	2	3493	4	206	1107
ASV_861	0	0	4	0	0	29
ASV_862	0	18	0	0	0	0
ASV_866	0	0	19	0	0	55
ASV_87	26	0	289	0	0	194
ASV_879	9	0	19	0	0	131
ASV_884	0	0	0	0	0	25
ASV_885	0	30	0	0	0	0
ASV_8887	3	0	0	0	0	0
ASV_89	0	0	17	0	45	15
ASV_892	0	0	0	0	0	19
ASV_9	0	0	0	0	25	0
ASV_90	0	0	58	772	29	304
ASV_9155	1	0	9	0	0	0
ASV_921	36	0	0	0	0	7
ASV_9268	0	59	0	537	47	0
