Group,Seed,Fold,ThresOral,ThresDensity,Precision,Recall,F1,Accuracy
CD,5,5,0.00874366,70670533287.0,0.5,0.142857143,0.222222222,0.740740741
CD,6,1,0.008901871,12120471148.0,0.0,0.0,0.0,0.888888889
CD,6,2,0.002199069,101158000000.0,0.333333333,0.142857143,0.2,0.407407407
CD,6,3,0.008361618,71316123565.0,0.75,0.333333333,0.461538462,0.740740741
CD,6,4,0.008592708,71163026837.0,0.5,0.1,0.166666667,0.62962963
CD,6,5,0.008929155,12118344255.0,0.0,0.0,0.0,0.851851852
CD,7,1,0.008662342,71583387098.0,1.0,0.25,0.4,0.666666667
CD,7,2,0.008785487,72460675741.0,1.0,0.111111111,0.2,0.703703704
CD,7,3,0.002541719,173246000000.0,0.8,0.173913043,0.285714286,0.259259259
CD,7,4,0.008846795,12154613920.0,0.0,0.0,0.0,0.814814815
CD,7,5,0.003089426,75683616922.0,0.5,0.384615385,0.434782609,0.518518519
CD,8,1,0.008527138,72577849079.0,0.0,0.0,0.0,0.592592593
CD,8,2,0.003277307,75612968454.0,0.166666667,0.166666667,0.166666667,0.62962963
CD,8,3,0.003334949,68438211092.0,0.5,0.272727273,0.352941176,0.592592593
CD,8,4,0.002506258,128441000000.0,0.888888889,0.444444444,0.592592593,0.592592593
CD,8,5,0.008336219,72547628628.0,0.666666667,0.2,0.307692308,0.666666667
CD,9,1,0.008925736,8755306732.0,0.0,0.0,0.0,0.851851852
